State,Institution,Type of Discrimination,Investigation Open Date
Alabama,UNIVERSITY OF ALABAMA,Title IX - Sexual Violence,2018-03-23
Alabama,UNIVERSITY OF ALABAMA,Title IX - Single Sex Scholarships,2022-01-31
Alabama,UNIVERSITY OF ALABAMA IN HUNTSVILLE,Title IX - Denial of Benefits,2023-03-15
Alabama,UNIVERSITY OF ALABAMA IN HUNTSVILLE,Title IX - Single Sex Scholarships,2023-04-11
Alabama,UNIVERSITY OF MEMPHIS,Disability - Academic Adjustments,2020-07-01
Alabama,UNIVERSITY OF ALABAMA,Title IX - Retaliation,2023-03-01
Alabama,UNIVERSITY OF ALABAMA,Title IX - Sexual Harassment,2015-12-09
Alabama,UNIVERSITY OF ALABAMA,Title IX - Sexual Violence,2016-05-23
Alabama,UNIVERSITY OF ALABAMA,Title IX - Sexual Violence,2017-10-02
Alabama,UNIVERSITY OF ALABAMA,Title IX - Retaliation,2015-12-09
Alabama,UNIVERSITY OF ALABAMA,Title IX - Retaliation,2016-03-03
Alabama,UNIVERSITY OF ALABAMA,Title IX - Retaliation,2017-10-02
Alabama,UNIVERSITY OF ALABAMA,Title IX - Retaliation,2018-03-23
Alabama,UNIVERSITY OF ALABAMA,Disability - Academic Adjustments,2022-02-25
Alabama,UNIVERSITY OF ALABAMA,Disability - Procedural Requirements,2014-06-06
Alabama,UNIVERSITY OF ALABAMA,Title IX - Procedural Requirements,2014-06-06
Alabama,UNIVERSITY OF ALABAMA,Title IX - Procedural Requirements,2016-03-03
Alabama,TUSKEGEE UNIVERSITY,Title IX - Retaliation,2020-01-17
Alabama,TUSKEGEE UNIVERSITY,Title IX - Retaliation,2023-03-21
Alabama,TUSKEGEE UNIVERSITY,Title IX - Sexual Harassment,2020-01-17
Alabama,UNIVERSITY OF ALABAMA,Title VI - Denial of Benefits,2022-04-25
Alabama,UNIVERSITY OF ALABAMA,Title VI - Racial Harassment,2014-06-06
Alabama,TUSKEGEE UNIVERSITY,Title IX - Procedural Requirements,2016-01-08
Alabama,TUSKEGEE UNIVERSITY,Title IX - Retaliation,2016-01-08
Alabama,TUSKEGEE UNIVERSITY,Title IX - Others,2016-01-08
Alabama,UNIVERSITY OF NORTH ALABAMA,Disability - Accessibility,2018-01-31
Alabama,UNIVERSITY OF SOUTH ALABAMA,Title VI - Others,2023-04-18
Alabama,UNIVERSITY OF SOUTH ALABAMA,Title IX - Denial of Benefits,2023-04-18
Alabama,UNIVERSITY OF SOUTH ALABAMA-BALDWIN,Title IX - Single Sex Campus Programs,2020-09-11
Alabama,UNIVERSITY OF MEMPHIS,Disability - Denial of Benefits,2023-01-18
Alabama,UNIVERSITY OF MEMPHIS,Disability - Others,2020-07-01
Alabama,UNIVERSITY OF MEMPHIS,Title VI - Denial of Benefits,2023-12-14
Alabama,UNIVERSITY OF MEMPHIS,Title VI - Retaliation,2020-07-01
Alabama,UNIVERSITY OF MEMPHIS,Title IX - Procedural Requirements,2020-07-01
Alabama,UNIVERSITY OF SOUTH FLORIDA,Title VI - Denial of Benefits,2023-07-12
Alabama,UNIVERSITY OF SOUTH FLORIDA,Title IX - Denial of Benefits,2020-05-15
Alabama,UNIVERSITY OF SOUTH FLORIDA,Disability - Denial of Benefits,2020-08-18
Alabama,UNIVERSITY OF SOUTH FLORIDA,Disability - Retaliation,2020-08-18
Alabama,UNIVERSITY OF MIAMI,Title IX - Athletics,2016-06-24
Alabama,UNIVERSITY OF MIAMI,Title IX - Procedural Requirements,2016-03-11
Alabama,UNIVERSITY OF MIAMI,Title IX - Retaliation,2015-10-09
Alabama,UNIVERSITY OF MIAMI,Title IX - Sexual Violence,2015-10-09
Alabama,UNIVERSITY OF MIAMI,Title IX - Sexual Violence,2016-03-11
Alabama,UNIVERSITY OF MEMPHIS,Title IX - Sexual Violence,2023-01-18
Alabama,UNIVERSITY OF MEMPHIS,Title IX - Single Sex Scholarships,2020-06-10
Alabama,UNIVERSITY OF MIAMI,Title VI - Denial of Benefits,2022-11-30
Alabama,UNIVERSITY OF SOUTH FLORIDA,Disability - Academic Adjustments,2020-08-18
Alabama,UNIVERSITY OF MEMPHIS,Title IX - Retaliation,2022-03-02
Alabama,UNIVERSITY OF MEMPHIS,Title IX - Sexual Harassment,2022-03-02
Alabama,UNIVERSITY OF MIAMI,Title IX - Single Sex Campus Programs,2023-11-30
Alabama,UNIVERSITY OF MIAMI,Title IX - Single Sex Scholarships,2023-11-30
Alabama,WALLACE STATE COMMUNITY COLLEGE,Disability - Service Animal,2017-12-12
Alabama,WALLACE STATE COMMUNITY COLLEGE,Disability - Treatment of Postsecondary Students,2017-12-12
Alabama,VANDERBILT UNIVERSITY,Title IX - Sexual Violence,2020-10-30
Alabama,WALLACE STATE COMMUNITY COLLEGE,Disability - Academic Adjustments,2017-12-12
Alabama,UNIVERSITY OF SOUTH FLORIDA,Title IX - Retaliation,2014-09-03
Alabama,UNIVERSITY OF SOUTH FLORIDA,Title IX - Retaliation,2020-07-27
Alabama,UNIVERSITY OF SOUTH FLORIDA,Title IX - Sexual Harassment,2020-04-20
Alabama,UNIVERSITY OF SOUTH FLORIDA,Title IX - Sexual Violence,2014-09-03
Alabama,WALLACE STATE COMMUNITY COLLEGE,Disability - Disability Harassment,2017-12-12
Alabama,WALLACE STATE COMMUNITY COLLEGE,Disability - Retaliation,2017-12-12
